% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
9763	5	1	1	0	28	9422	0	1	0
9773	5	1	1	0	28	9422	0	1	0
9813	5	1	1	0	28	9422	0	1	0
9823	5	1	1	0	28	9422	0	1	0
9863	5	1	1	0	28	9422	0	1	0
9873	5	1	1	0	28	9422	0	1	0
9913	5	1	1	0	28	9422	0	1	0
9923	5	1	1	0	26	7708	0	1	0
9963	5	1	1	0	28	9422	0	1	0
9973	5	1	1	0	28	9422	0	1	0
10013	5	1	1	0	28	9422	0	1	0
10023	5	1	1	0	28	9422	0	1	0
10063	5	1	1	0	28	9422	0	1	0
10073	5	1	1	0	28	9422	0	1	0
10113	5	1	1	0	28	9422	0	1	0
10123	5	1	1	0	28	9422	0	1	0
10163	5	1	1	0	28	9422	0	1	0
10173	5	1	1	0	28	9422	0	1	0
10213	5	1	1	0	28	9422	0	1	0
10223	5	1	1	0	28	9422	0	1	0
10263	5	1	1	0	28	9422	0	1	0
10273	5	1	1	0	28	9422	0	1	0
10313	5	1	1	0	28	9422	0	1	0
10323	5	1	1	0	28	9422	0	1	0
10363	5	1	1	0	28	9422	0	1	0
10373	5	1	1	0	28	9422	0	1	0
10413	5	1	1	0	28	9422	0	1	0
10423	5	1	1	0	28	9422	0	1	0
10463	5	1	1	0	28	9422	0	1	0
10473	5	1	1	0	28	9422	0	1	0
10513	5	1	1	0	28	9422	0	1	0
10523	5	1	1	0	28	9422	0	1	0
10563	5	1	1	0	28	9422	0	1	0
10573	5	1	1	0	28	9422	0	1	0
10613	5	1	1	0	28	9422	0	1	0
10623	5	1	1	0	28	9422	0	1	0
10663	5	1	1	0	28	9422	0	1	0
10673	5	1	1	0	24	6882	0	1	0
10713	5	1	1	0	28	9422	0	1	0
10723	5	1	1	0	28	9422	0	1	0
10763	5	1	1	0	28	9422	0	1	0
10773	5	1	1	0	28	9422	0	1	0
10813	5	1	1	0	28	9422	0	1	0
10823	5	1	1	0	28	9422	0	1	0
10863	5	1	1	0	28	9422	0	1	0
10873	5	1	1	0	28	9422	0	1	0
10913	5	1	1	0	28	9422	0	1	0
10923	5	1	1	0	28	9422	0	1	0
10963	5	1	1	0	28	9422	0	1	0
10973	5	1	1	0	28	9422	0	1	0
11013	5	1	1	0	28	9422	0	1	0
11023	5	1	1	0	28	9422	0	1	0
11063	5	1	1	0	28	9422	0	1	0
11073	5	1	1	0	28	9422	0	1	0
11113	5	1	1	0	28	9422	0	1	0
11123	5	1	1	0	28	9422	0	1	0
11163	5	1	1	0	28	9422	0	1	0
11173	5	1	1	0	28	9422	0	1	0
11213	5	1	1	0	28	9422	0	1	0
11223	5	1	1	0	28	9422	0	1	0
11263	5	1	1	0	28	9422	0	1	0
11273	5	1	1	0	28	9422	0	1	0
11313	5	1	1	0	28	9422	0	1	0
11323	5	1	1	0	28	9422	0	1	0
11363	5	1	1	0	28	9422	0	1	0
11373	5	1	1	0	28	9422	0	1	0
11413	5	1	1	0	28	9422	0	1	0
11423	5	1	1	0	28	9422	0	1	0
11463	5	1	1	0	28	9422	0	1	0
11473	5	1	1	0	28	9422	0	1	0
11513	5	1	1	0	28	9422	0	1	0
11523	5	1	1	0	28	9422	0	1	0
11563	5	1	1	0	28	9422	0	1	0
11573	5	1	1	0	28	9422	0	1	0
11613	5	1	1	0	28	9422	0	1	0
11623	5	1	1	0	28	9422	0	1	0
11663	5	1	1	0	28	9422	0	1	0
11673	5	1	1	0	28	9422	0	1	0
11713	5	1	1	0	28	9422	0	1	0
11723	5	1	1	0	28	9422	0	1	0
11763	5	1	1	0	28	9422	0	1	0
